Quality,Fibre,Count,Finish,Print,Coverage,Consum,Issued,Balance,Meters,Mesh,Rod,Speed,Hits,Color-hits,Viscosity,Machine
A120C093,CV,20,None,Reactive,14.35,185,210,25,6270,125.0,12.0,33.0,2,2,72.0,3.0
A120C093,CV,20,None,Reactive,3.31,70,87,17,6270,125.0,12.0,33.0,2,0,70.0,3.0
A120C093,CV,20,None,Reactive,19.33,245,260,15,6270,125.0,12.0,33.0,2,0,72.0,3.0
A120C093,CV,20,None,Reactive,28.99,189,200,11,3130,125.0,20.0,35.0,3,1,72.0,3.0
A120C093,CV,20,None,Reactive,17.31,108,120,12,3130,125.0,12.0,35.0,3,3,75.0,3.0
A120C093,CV,20,None,Reactive,8.3,65,80,15,3130,125.0,12.0,35.0,3,0,79.0,3.0
A120C093,CV,20,None,Reactive,3.68,59,94,35,3130,125.0,12.0,35.0,3,0,83.0,3.0
A120C093,CV,20,None,Reactive,3.06,59,83,24,3130,125.0,10.0,35.0,3,2,85.0,3.0
A120C093,CV,20,None,Reactive,4.1,69,98,29,3130,125.0,10.0,35.0,3,2,80.0,3.0
A120C093,CV,20,None,Reactive,7.37,106,134,28,3130,125.0,10.0,35.0,3,2,87.0,3.0
A120C093,CV,20,None,Reactive,55.68,309,330,21,2931,165.0,20.0,30.0,1,0,68.0,3.0
A120C093,CV,20,None,Reactive,10.55,86,100,14,2931,165.0,12.0,30.0,1,0,74.0,3.0
A120C093,CV,20,None,Reactive,8.12,92,110,18,2931,155.0,12.0,30.0,1,1,75.0,3.0
A120C093,CV,20,None,Reactive,9.51,68,80,12,2931,155.0,12.0,30.0,1,0,85.0,3.0
A150D067,ST,50,None,Discharge,2.8,22,47,25,587,195.0,10.0,30.0,1,1,42.0,3.0
A160A742,JM,60,None,Reactive,55.7,163,180,17,1710,155.0,15.0,30.0,3,3,71.0,3.0
14500101,V,45,None,Reactive,30.34,459,480,21,10103,125.0,15.0,30.0,2,0,68.0,1.0
14500101,V,45,None,Reactive,5.8,122,140,18,10103,125.0,15.0,30.0,2,0,66.0,1.0
14500101,V,45,None,Reactive,6.52,145,160,15,10103,165.0,12.0,30.0,2,2,65.0,1.0
14500101,V,45,None,Reactive,9.38,138,160,22,10103,165.0,12.0,30.0,2,0,70.0,1.0
A150D067,ST,50,None,Discharge,2.8,47,79,32,900,195.0,10.0,30.0,4,4,90.0,1.0
A120C093,CV,20,None,Pigment,3.66,80,100,20,9100,125.0,8.0,40.0,1,0,95.0,1.0
A120C093,CV,20,None,Pigment,9.95,192,220,28,9100,125.0,10.0,40.0,1,0,70.0,1.0
A120C093,CV,20,None,Pigment,3.6,82,100,18,9100,155.0,10.0,40.0,1,1,68.0,1.0
16000314,CT,60,None,Discharge,1.1,32,50,18,3100,155.0,8.0,30.0,0,0,58.0,1.0
16000314,CT,60,None,Discharge,0.75,20,50,30,3100,155.0,10.0,30.0,0,0,52.0,1.0
16000314,CT,60,None,Discharge,0.8,25,40,15,3100,165.0,12.0,30.0,0,0,52.0,1.0
16000314,CT,60,None,Discharge,1.1,15,45,30,3800,155.0,8.0,30.0,1,0,84.0,1.0
16000314,CT,60,None,Discharge,0.75,20,45,25,3800,155.0,10.0,30.0,1,1,95.0,1.0
16000314,CT,60,None,Discharge,0.81,10,40,30,3800,165.0,12.0,30.0,1,0,100.0,1.0
A140E129,ST,40,None,Pigment,9.81,160,186,26,9190,125.0,15.0,40.0,2,2,85.0,1.0
A145A279,SPC,45,None,Pigment,53.8,448,480,32,5400,125.0,10.0,60.0,3,3,80.0,1.0
A145A279,SPC,45,None,Pigment,2.39,40,70,30,3400,125.0,8.0,40.0,3,1,75.0,1.0
